idx,success,latency_ms,compute_ms,net_ms,overhead_bytes,hash_mode,details,p1_i_compute_ms,p1_p2_j_compute_ms,p1_net_ms,p2_p3_i_compute_ms,p2_net_ms,p3_net_ms,config,run_id,uav_id,peer_uav_id,row_uid,runnumber,repetition,seedset,suite,num_uavs,puf_ber,fe_profile,attack_mode,initiator,pair_id,mac_ms,kdf_ms,dh_ms
0,1,0.469704,0.227934,0.217907,197,sha3,pair=UAV0<->UAV1; config=HighNoise,0.085342,0.0,0.0,0.142592,0.217907,0.0,HighNoise,HighNoise-0-20260809-23:07:24-359440,0,1,HighNoise-0-20260809-23:07:24-359440|phase3|0|1,0,0,0,sha3,10,,,,1,0-1,0.013244,0.018886,0.189591
1,1,0.456053,0.225869,0.218043,197,sha3,pair=UAV0<->UAV2; config=HighNoise,0.082597,0.0,0.0,0.143272,0.218043,0.0,HighNoise,HighNoise-0-20260809-23:07:24-359440,0,2,HighNoise-0-20260809-23:07:24-359440|phase3|0|2,0,0,0,sha3,10,,,,1,0-2,0.012835,0.018656,0.188037
2,1,0.43351,0.242271,0.205477,197,sha3,pair=UAV0<->UAV3; config=HighNoise,0.095171,0.0,0.0,0.1471,0.205477,0.0,HighNoise,HighNoise-0-20260809-23:07:24-359440,0,3,HighNoise-0-20260809-23:07:24-359440|phase3|0|3,0,0,0,sha3,10,,,,1,0-3,0.013697,0.019768,0.202255
3,0,0.084059,0.084059,0.0,95,sha3,pair=UAV0<->UAV4; config=HighNoise,0.084059,0.0,0.0,0.0,0.0,0.0,HighNoise,HighNoise-0-20260809-23:07:24-359440,0,4,HighNoise-0-20260809-23:07:24-359440|phase3|0|4,0,0,0,sha3,10,,,,1,0-4,0.004368,0.008947,0.066877
4,1,0.458256,0.231891,0.215662,197,sha3,pair=UAV0<->UAV5; config=HighNoise,0.080723,0.0,0.0,0.151168,0.215662,0.0,HighNoise,HighNoise-0-20260809-23:07:24-359440,0,5,HighNoise-0-20260809-23:07:24-359440|phase3|0|5,0,0,0,sha3,10,,,,1,0-5,0.018755,0.018745,0.18879
5,1,0.475307,0.224898,0.236375,197,sha3,pair=UAV0<->UAV6; config=HighNoise,0.081155,0.0,0.0,0.143743,0.236375,0.0,HighNoise,HighNoise-0-20260809-23:07:24-359440,0,6,HighNoise-0-20260809-23:07:24-359440|phase3|0|6,0,0,0,sha3,10,,,,1,0-6,0.012754,0.019066,0.187818
6,1,0.447546,0.223114,0.208207,197,sha3,pair=UAV0<->UAV7; config=HighNoise,0.080493,0.0,0.0,0.142621,0.208207,0.0,HighNoise,HighNoise-0-20260809-23:07:24-359440,0,7,HighNoise-0-20260809-23:07:24-359440|phase3|0|7,0,0,0,sha3,10,,,,1,0-7,0.012774,0.018505,0.187357
7,1,0.472955,0.225107,0.207507,197,sha3,pair=UAV0<->UAV8; config=HighNoise,0.082206,0.0,0.0,0.142901,0.207507,0.0,HighNoise,HighNoise-0-20260809-23:07:24-359440,0,8,HighNoise-0-20260809-23:07:24-359440|phase3|0|8,0,0,0,sha3,10,,,,1,0-8,0.012754,0.018986,0.187436
8,1,0.464979,0.224317,0.208686,197,sha3,pair=UAV0<->UAV9; config=HighNoise,0.081355,0.0,0.0,0.142962,0.208686,0.0,HighNoise,HighNoise-0-20260809-23:07:24-359440,0,9,HighNoise-0-20260809-23:07:24-359440|phase3|0|9,0,0,0,sha3,10,,,,1,0-9,0.012764,0.018956,0.187887
9,1,0.350522,0.086194,0.384413,197,sha3,pair=UAV1<->UAV0; config=HighNoise,0.0,0.086194,0.251797,0.0,0.0,0.132616,HighNoise,HighNoise-0-20260809-23:07:24-359440,1,0,HighNoise-0-20260809-23:07:24-359440|phase3|1|0,0,0,0,sha3,10,,,,0,0-1,0.012513,0.018466,0.187507
